Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://www.amazon.in/,10,19904,8533,49114,12272.79,10.000%,.20200,169.53,3.50,859414.5
https://www.amazon.in/af/feedback-link?pl=%7B%22adPlacementMetaData%22%3A%7B%22pageUrl%22%3A%22aHR0cHM6Ly93d3cuYW1hem9uLmluLz8%3D%22%2C%22adElementId%22%3A%22ape_Gateway_right-2_desktop_placement%22%2C%22pageType%22%3A%22Gateway%22%2C%22slotName%22%3A%22right-2%22%7D%2C%22adCreativeMetaData%22%3A%7B%22adProgramId%22%3A%220%22%2C%22adCreativeId%22%3A%220%22%2C%22adId%22%3A%220%22%2C%22adNetwork%22%3A%22cs%22%7D%7D,10,291,240,550,92.10,0.000%,.24855,0.57,0.26,2359.2
https://www.amazon.in/af/feedback-link?pl=%7B%22adPlacementMetaData%22%3A%7B%22pageUrl%22%3A%22aHR0cHM6Ly93d3cuYW1hem9uLmluLz8%3D%22%2C%22adElementId%22%3A%22ape_Gateway_desktop-ad-center-1_desktop_placement%22%2C%22pageType%22%3A%22Gateway%22%2C%22slotName%22%3A%22desktop-ad-center-1%22%7D%2C%22adCreativeMetaData%22%3A%7B%22adProgramId%22%3A%220%22%2C%22adCreativeId%22%3A%220%22%2C%22adId%22%3A%220%22%2C%22adNetwork%22%3A%22cs%22%7D%7D,10,290,237,542,89.03,0.000%,.24858,0.64,0.27,2616.2
https://www.amazon.in/ah/ajax/counter?ctr=desktop_ajax_atf&exp=1689225766441&rId=WFB30ECCNQTRN9VH1R79&mkId=A21TJRUUN4KGV&h=63de4e6b611c990481f8056fd6870d38e9284376569fa1880e5a4eb18953fdb0,10,248,218,334,31.90,100.000%,.24864,0.47,0.30,1926.4
https://www.amazon.in/gp/product/sessionCacheUpdateHandler.html,10,394,356,484,43.88,100.000%,.24786,0.43,0.30,1792.0
https://origin-completion.amazon.in/api/2017/suggestions,30,820,173,3479,987.43,0.000%,.41531,0.12,0.33,289.0
https://unagi.amazon.in/1/events/com.amazon.csm.csa.prod,30,1722,371,4295,1126.95,0.000%,.34836,0.12,75.18,358.0
https://www.amazon.in/mobile-phones/b/?ie=UTF8&node=1389401031&ref_=nav_cs_mobiles,10,3216,1599,6780,1524.48,0.000%,.19933,15.08,1.72,77462.2
https://unagi.amazon.in/1/events/com.amazon.eel.SearchAutocompleteUIServiceMetrics.nexus,30,212,173,299,34.86,33.333%,.48094,0.17,0.45,359.0
https://www.amazon.in/dp/B07WFPMQB1?pf_rd_r=V4JAP2TK2FS247CCF5GF&pf_rd_t=PageFrameworkApplication&pf_rd_i=1389401031&pf_rd_p=111bee0e-b3d7-4d51-89e6-66e252d98c6c&pf_rd_s=merchandised-search-2&ref=dlx_13894_sh_dcl_tlt_1_41a16875_dt_mese2_6c,10,7235,2775,17775,5143.15,0.000%,.17532,62.64,1.76,365875.4
